pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
487524664,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/fuhs11frocos_a.xml,11771686,SizeChangeTool_v2019,22292,default,325830,complete,0.006899123,0.0575289726257,3239936.0,MAYBE,460
487524665,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/fuhs11frocos_a.xml,11771686,Wanda 2.2a,29300,default,359682,complete,3.287901957,2.04296302795,1.06012672E8,MAYBE,603
487524668,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/listrepeat.xml,11771688,SizeChangeTool_v2019,22292,default,325830,complete,0.013192115,0.0181651115417,4292608.0,MAYBE,446
487524669,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/listrepeat.xml,11771688,Wanda 2.2a,29300,default,359682,complete,1.307310931,1.31164693832,2.9872128E7,MAYBE,1286
487524672,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/prefixshuffle.xml,11771690,SizeChangeTool_v2019,22292,default,325830,complete,0.038001574,0.104990959167,4943872.0,MAYBE,458
487524673,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/prefixshuffle.xml,11771690,Wanda 2.2a,29300,default,359682,complete,1.325102804,1.36918401718,2.387968E7,YES,10110
487524660,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/prenex_modif1.xml,11771684,SizeChangeTool_v2019,22292,default,325830,complete,0.012120232,0.0163731575012,5455872.0,YES,246
487524661,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/prenex_modif1.xml,11771684,Wanda 2.2a,29300,default,359682,complete,0.186400074,0.199156999588,3166208.0,YES,7725
487524666,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/sqr.xml,11771687,SizeChangeTool_v2019,22292,default,325830,complete,0.013783456,0.0301821231842,3624960.0,MAYBE,427
487524667,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/sqr.xml,11771687,Wanda 2.2a,29300,default,359682,complete,10.286195721,10.3144869804,2.20368896E8,MAYBE,1208
487524670,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/tailrecgen.xml,11771689,SizeChangeTool_v2019,22292,default,325830,complete,0.011230719,0.0206899642944,4947968.0,MAYBE,458
487524671,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/tailrecgen.xml,11771689,Wanda 2.2a,29300,default,359682,complete,10.66239749,10.6980791092,1.78614272E8,MAYBE,1079
487524662,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/twice_modif4.xml,11771685,SizeChangeTool_v2019,22292,default,325830,complete,0.007374249,0.0667250156403,3502080.0,MAYBE,331
487524663,Higher_Order_Rewriting_Union_Beta/Mixed_HO_12/twice_modif4.xml,11771685,Wanda 2.2a,29300,default,359682,complete,0.095287188,0.136695146561,3194880.0,YES,3362
487524748,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h00.xml,11771652,SizeChangeTool_v2019,22292,default,325830,complete,0.013218923,0.0806751251221,4673536.0,YES,243
487524749,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h00.xml,11771652,Wanda 2.2a,29300,default,359682,complete,0.577750611,0.581607103348,1.312768E7,YES,15696
487524766,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h01.xml,11771661,SizeChangeTool_v2019,22292,default,325830,complete,0.016130663,0.0296449661255,3756032.0,MAYBE,340
487524767,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h01.xml,11771661,Wanda 2.2a,29300,default,359682,complete,30.995953771,31.0370788574,4.17533952E8,YES,27179
487524692,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h02.xml,11771624,SizeChangeTool_v2019,22292,default,325830,complete,0.010416892,0.0549051761627,7168000.0,YES,246
487524693,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h02.xml,11771624,Wanda 2.2a,29300,default,359682,complete,0.31111833,0.363367080688,9211904.0,YES,7270
487524730,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h03.xml,11771643,SizeChangeTool_v2019,22292,default,325830,complete,0.011541202,0.0163629055023,3874816.0,MAYBE,340
487524731,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h03.xml,11771643,Wanda 2.2a,29300,default,359682,complete,4.588915672,4.63029098511,5.3919744E7,YES,8288
487524732,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h04.xml,11771644,SizeChangeTool_v2019,22292,default,325830,complete,0.007190796,0.0117139816284,3366912.0,MAYBE,283
487524733,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h04.xml,11771644,Wanda 2.2a,29300,default,359682,complete,60.86465994,60.9106190205,4.101861376E9,MAYBE,2079
487524690,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h05.xml,11771623,SizeChangeTool_v2019,22292,default,325830,complete,0.011344655,0.0192680358887,3231744.0,MAYBE,280
487524691,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h05.xml,11771623,Wanda 2.2a,29300,default,359682,complete,129.202688054,129.271839142,8.76167168E9,MAYBE,2665
487524768,Higher_Order_Rewriting_Union_Beta/Hamana_Kikuchi_18/h06.xml,11771662,SizeChangeTool_v2019,22292,default,325830,complete,0.006453964,0.0538630485535,3223552.0,MAYBE,283
