pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time,output-size
487538763,TRS_Standard/AProVE_10/andIsNat.xml,11770285,ttt2-1.20,29431,ttt2_cert,360056,complete,367.856977,299.348035812,6.3434752E8,MAYBE,-,-,-
487538764,TRS_Standard/AProVE_10/andIsNat.xml,11770285,AProVE,29458,certified,360177,complete,41.521084608,17.6271300316,3.988103168E9,NO,CERTIFIED,0.3,155201
487538765,TRS_Standard/AProVE_10/andIsNat.xml,11770285,NaTT 1.6.1,29473,Certifiable,360199,complete,0.272470428,0.299916982651,1.7219584E7,MAYBE,-,-,-
487538757,TRS_Standard/AProVE_10/challenge_fab.xml,11770283,ttt2-1.20,29431,ttt2_cert,360056,complete,388.774661503,299.340805054,8.48072704E8,MAYBE,-,-,-
487538758,TRS_Standard/AProVE_10/challenge_fab.xml,11770283,AProVE,29458,certified,360177,complete,618.209544091,291.60175395,6.257709056E9,MAYBE,-,-,-
487538759,TRS_Standard/AProVE_10/challenge_fab.xml,11770283,NaTT 1.6.1,29473,Certifiable,360199,complete,0.866818764,0.867561101913,2.091008E7,MAYBE,-,-,-
487538787,TRS_Standard/AProVE_10/double.xml,11770293,ttt2-1.20,29431,ttt2_cert,360056,complete,18.542064302,7.30871295929,5.13101824E8,MAYBE,-,-,-
487538788,TRS_Standard/AProVE_10/double.xml,11770293,AProVE,29458,certified,360177,complete,33.591944968,14.7003698349,4.032290816E9,NO,CERTIFIED,0.1,46258
487538789,TRS_Standard/AProVE_10/double.xml,11770293,NaTT 1.6.1,29473,Certifiable,360199,complete,0.096929439,0.103467941284,1.2316672E7,MAYBE,-,-,-
487538751,TRS_Standard/AProVE_10/downfrom.xml,11770281,ttt2-1.20,29431,ttt2_cert,360056,complete,367.244533085,299.371959925,5.92961536E8,MAYBE,-,-,-
487538752,TRS_Standard/AProVE_10/downfrom.xml,11770281,AProVE,29458,certified,360177,complete,389.264858145,291.598683119,4.224905216E9,MAYBE,-,-,-
487538753,TRS_Standard/AProVE_10/downfrom.xml,11770281,NaTT 1.6.1,29473,Certifiable,360199,complete,0.142403549,0.166710853577,1.3770752E7,MAYBE,-,-,-
487538748,TRS_Standard/AProVE_10/ex1.xml,11770280,ttt2-1.20,29431,ttt2_cert,360056,complete,22.96119758,7.31805181503,4.51739648E8,MAYBE,-,-,-
487538749,TRS_Standard/AProVE_10/ex1.xml,11770280,AProVE,29458,certified,360177,complete,25.050881325,12.0902688503,6.27335168E8,NO,CERTIFIED,0.1,67342
487538750,TRS_Standard/AProVE_10/ex1.xml,11770280,NaTT 1.6.1,29473,Certifiable,360199,complete,0.170537732,0.206756830215,1.5429632E7,MAYBE,-,-,-
487538784,TRS_Standard/AProVE_10/ex2.xml,11770292,ttt2-1.20,29431,ttt2_cert,360056,complete,351.756266435,299.302059174,6.31857152E8,MAYBE,-,-,-
487538785,TRS_Standard/AProVE_10/ex2.xml,11770292,AProVE,29458,certified,360177,complete,38.696036972,12.8055090904,3.9395328E9,NO,CERTIFIED,0.2,80326
487538786,TRS_Standard/AProVE_10/ex2.xml,11770292,NaTT 1.6.1,29473,Certifiable,360199,complete,0.147109544,0.176585912704,1.4598144E7,MAYBE,-,-,-
487538766,TRS_Standard/AProVE_10/ex3.xml,11770286,ttt2-1.20,29431,ttt2_cert,360056,complete,56.353560591,23.4819447994,4.6813184E8,MAYBE,-,-,-
487538767,TRS_Standard/AProVE_10/ex3.xml,11770286,AProVE,29458,certified,360177,complete,35.386045429,12.1896970272,2.9811712E9,NO,CERTIFIED,0.2,94201
487538768,TRS_Standard/AProVE_10/ex3.xml,11770286,NaTT 1.6.1,29473,Certifiable,360199,complete,0.132194994,0.168443918228,1.4204928E7,MAYBE,-,-,-
487538769,TRS_Standard/AProVE_10/ex4.xml,11770287,ttt2-1.20,29431,ttt2_cert,360056,complete,57.124964424,21.2300078869,6.5155072E8,MAYBE,-,-,-
487538770,TRS_Standard/AProVE_10/ex4.xml,11770287,AProVE,29458,certified,360177,complete,37.706586843,13.644712925,2.579275776E9,NO,CERTIFIED,0.2,112667
487538771,TRS_Standard/AProVE_10/ex4.xml,11770287,NaTT 1.6.1,29473,Certifiable,360199,complete,0.20322242,0.217244148254,1.8788352E7,MAYBE,-,-,-
487538781,TRS_Standard/AProVE_10/ex5.xml,11770291,ttt2-1.20,29431,ttt2_cert,360056,complete,0.585406478,0.427211999893,1.4895104E8,YES,CERTIFIED,0.0,8658
