pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time
516304139,TRS_Standard/AProVE_07/thiemann31.xml,13153795,ttt2-1.20,29431,ttt2_cert,360056,complete,370.509158832,299.357430935,6.9523456E8,MAYBE,-,-
516304140,TRS_Standard/AProVE_07/thiemann31.xml,13153795,AProVE21,33789,certified,551426,complete,11.148674282,3.91212105751,6.42404352E8,YES,CERTIFIED,0.77
516304141,TRS_Standard/AProVE_07/thiemann31.xml,13153795,NaTT 1.6.1,29473,Certifiable,360199,complete,0.897691092,0.87394618988,2.57024E7,MAYBE,-,-
516304142,TRS_Standard/AProVE_07/thiemann36.xml,13153796,ttt2-1.20,29431,ttt2_cert,360056,complete,372.894955221,299.31637907,1.45532928E9,MAYBE,-,-
516304143,TRS_Standard/AProVE_07/thiemann36.xml,13153796,AProVE21,33789,certified,551426,complete,12.779686603,4.85639500618,6.7303424E8,YES,CERTIFIED,0.88
516304144,TRS_Standard/AProVE_07/thiemann36.xml,13153796,NaTT 1.6.1,29473,Certifiable,360199,complete,1.205966603,1.11888694763,2.8721152E7,MAYBE,-,-
516304145,TRS_Standard/AProVE_07/thiemann38.xml,13153797,ttt2-1.20,29431,ttt2_cert,360056,complete,366.818374432,299.352202177,8.2393088E8,MAYBE,-,-
516304146,TRS_Standard/AProVE_07/thiemann38.xml,13153797,AProVE21,33789,certified,551426,complete,9.32683661,3.16548800468,5.67545856E8,YES,CERTIFIED,0.72
516304147,TRS_Standard/AProVE_07/thiemann38.xml,13153797,NaTT 1.6.1,29473,Certifiable,360199,complete,0.464133974,0.433306932449,2.3842816E7,MAYBE,-,-
516304148,TRS_Standard/AProVE_07/thiemann03.xml,13153798,ttt2-1.20,29431,ttt2_cert,360056,complete,371.964027871,299.344552994,8.35006464E8,MAYBE,-,-
516304149,TRS_Standard/AProVE_07/thiemann03.xml,13153798,AProVE21,33789,certified,551426,complete,9.856743127,3.28022694588,6.55745024E8,YES,CERTIFIED,0.23
516304150,TRS_Standard/AProVE_07/thiemann03.xml,13153798,NaTT 1.6.1,29473,Certifiable,360199,complete,0.482175527,0.473498821259,2.0815872E7,MAYBE,-,-
516304151,TRS_Standard/AProVE_07/otto10.xml,13153799,ttt2-1.20,29431,ttt2_cert,360056,complete,357.340907155,299.364341021,7.53057792E8,MAYBE,-,-
516304152,TRS_Standard/AProVE_07/otto10.xml,13153799,AProVE21,33789,certified,551426,complete,8.805797112,3.02198314667,5.61504256E8,YES,CERTIFIED,0.44
516304153,TRS_Standard/AProVE_07/otto10.xml,13153799,NaTT 1.6.1,29473,Certifiable,360199,complete,0.585150889,0.552957057953,2.4969216E7,MAYBE,-,-
516304154,TRS_Standard/AProVE_07/thiemann04.xml,13153800,ttt2-1.20,29431,ttt2_cert,360056,complete,375.986919193,299.32785511,9.67954432E8,MAYBE,-,-
516304155,TRS_Standard/AProVE_07/thiemann04.xml,13153800,AProVE21,33789,certified,551426,complete,69.214414911,19.2985241413,1.497669632E9,YES,CERTIFIED,3.55
516304156,TRS_Standard/AProVE_07/thiemann04.xml,13153800,NaTT 1.6.1,29473,Certifiable,360199,complete,1.437336533,1.28818178177,4.2041344E7,MAYBE,-,-
516304157,TRS_Standard/AProVE_07/wiehe06.xml,13153801,ttt2-1.20,29431,ttt2_cert,360056,complete,19.375524327,6.84541010857,7.67782912E8,YES,CERTIFIED,0.28
