pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time,certification-err
516330499,SRS_Relative/ICFP_2010_relative/132738.xml,13155835,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),893.101256792,301.065208912,2.18894336E9,MAYBE,-,-,-
516330500,SRS_Relative/ICFP_2010_relative/132738.xml,13155835,AProVE21,33789,certified,551426,complete,60.678626351,18.3415989876,3.337101312E9,YES,CERTIFIED,14.84,-
516330501,SRS_Relative/ICFP_2010_relative/137809.xml,13155836,ttt2-1.20,29431,ttt2_cert,360056,complete,892.663905136,301.035260916,4.23417856E9,MAYBE,-,-,-
516330502,SRS_Relative/ICFP_2010_relative/137809.xml,13155836,AProVE21,33789,certified,551426,timeout (wallclock),1170.6245454,301.051558018,1.6809918464E10,--,-,-,-
516330503,SRS_Relative/ICFP_2010_relative/3467.xml,13155837,ttt2-1.20,29431,ttt2_cert,360056,complete,328.010052801,111.737636805,2.004496384E9,YES,UNSUPPORTED,0.24,expecting <, but found: Bounds.fprintfx: XML output no
516330504,SRS_Relative/ICFP_2010_relative/3467.xml,13155837,AProVE21,33789,certified,551426,timeout (wallclock),1184.04101905,301.042724133,1.5802097664E10,--,-,-,-
516330505,SRS_Relative/ICFP_2010_relative/3770.xml,13155838,ttt2-1.20,29431,ttt2_cert,360056,complete,892.405825865,300.53057313,2.433015808E9,MAYBE,-,-,-
516330506,SRS_Relative/ICFP_2010_relative/3770.xml,13155838,AProVE21,33789,certified,551426,timeout (wallclock),1169.60396951,301.05248189,1.58135296E10,--,-,-,-
516330507,SRS_Relative/ICFP_2010_relative/4819.xml,13155839,ttt2-1.20,29431,ttt2_cert,360056,complete,892.301024682,300.501742125,2.800574464E9,MAYBE,-,-,-
516330508,SRS_Relative/ICFP_2010_relative/4819.xml,13155839,AProVE21,33789,certified,551426,complete,78.276355831,20.6374809742,4.445233152E9,YES,CERTIFIED,18.45,-
516330509,SRS_Relative/ICFP_2010_relative/139025.xml,13155840,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),892.776817989,301.028969049,2.076033024E9,MAYBE,-,-,-
516330510,SRS_Relative/ICFP_2010_relative/139025.xml,13155840,AProVE21,33789,certified,551426,complete,73.514578052,20.5763409138,4.095873024E9,YES,CERTIFIED,16.03,-
