pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
516732010,C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,13165855,UltimateAutomizer,33900,default,552352,complete,15.832155529,10.736882925,4.75250688E8,NO,68292
516732011,C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,13165855,irankfinder v1.3.2,29509,competition,360226,complete,3.211327223,3.25827884674,3.31776E7,NO,719
516732012,C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,13165855,AProVE21,33789,c,551429,complete,33.006596538,9.47921085358,1.414610944E9,NO,271970
516732013,C_Integer/Stroeder_15/PastaB6.c,13165856,UltimateAutomizer,33900,default,552352,complete,15.410905519,18.4459891319,4.60197888E8,YES,57283
516732014,C_Integer/Stroeder_15/PastaB6.c,13165856,irankfinder v1.3.2,29509,competition,360226,complete,2.731911098,2.78631615639,3.3206272E7,YES,388
516732015,C_Integer/Stroeder_15/PastaB6.c,13165856,AProVE21,33789,c,551429,complete,12.826651062,5.27420401573,8.95770624E8,YES,441846
516732016,C_Integer/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,13165857,UltimateAutomizer,33900,default,552352,complete,16.494332746,7.4562292099,4.52706304E8,YES,74128
516732017,C_Integer/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,13165857,irankfinder v1.3.2,29509,competition,360226,complete,4.894156297,4.89802789688,3.4656256E7,YES,466
516732018,C_Integer/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,13165857,AProVE21,33789,c,551429,complete,42.034829504,12.3381690979,2.062245888E9,YES,2058682
516732019,C_Integer/Stroeder_15/svcomp_fermat.c,13165858,UltimateAutomizer,33900,default,552352,complete,25.30911263,13.8330109119,1.013444608E9,YES,285385
516732020,C_Integer/Stroeder_15/svcomp_fermat.c,13165858,irankfinder v1.3.2,29509,competition,360226,complete,165.663891738,165.731202126,1.84291328E8,YES,5256
516732021,C_Integer/Stroeder_15/svcomp_fermat.c,13165858,AProVE21,33789,c,551429,complete,132.125854561,38.4173219204,2.962612224E9,YES,8249919
516732022,C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,13165859,UltimateAutomizer,33900,default,552352,complete,32.694694116,22.9191498756,5.289984E8,YES,201754
516732023,C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,13165859,irankfinder v1.3.2,29509,competition,360226,complete,10.24890536,10.2648661137,3.7117952E7,YES,647
516732024,C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,13165859,AProVE21,33789,c,551429,complete,77.987014917,26.8772931099,3.73567488E9,YES,6254169
516732025,C_Integer/Stroeder_15/NarrowKonv.c,13165860,UltimateAutomizer,33900,default,552352,timeout (wallclock),413.173891932,301.059597015,3.726053376E9,MAYBE,240
516732026,C_Integer/Stroeder_15/NarrowKonv.c,13165860,irankfinder v1.3.2,29509,competition,360226,complete,298.904439791,299.211825848,1.3584384E8,MAYBE,256
516732027,C_Integer/Stroeder_15/NarrowKonv.c,13165860,AProVE21,33789,c,551429,timeout (wallclock),694.244161998,301.039533854,1.5830577152E10,MAYBE,231
516732028,C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,13165861,UltimateAutomizer,33900,default,552352,complete,21.742894772,11.7907710075,6.74127872E8,YES,161160
516732029,C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,13165861,irankfinder v1.3.2,29509,competition,360226,complete,4.563654407,4.63247585297,3.3579008E7,YES,547
516732030,C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,13165861,AProVE21,33789,c,551429,complete,33.346457476,9.7641620636,1.422905344E9,YES,1131965
516732031,C_Integer/Stroeder_15/NonTerminationSimple4_false-termination.c,13165862,UltimateAutomizer,33900,default,552352,complete,15.355880866,10.1618618965,4.7245312E8,NO,70635
516732032,C_Integer/Stroeder_15/NonTerminationSimple4_false-termination.c,13165862,irankfinder v1.3.2,29509,competition,360226,complete,2.830942349,2.89593315125,3.3124352E7,NO,626
516732033,C_Integer/Stroeder_15/NonTerminationSimple4_false-termination.c,13165862,AProVE21,33789,c,551429,complete,9.154327974,4.73073101044,6.72964608E8,NO,256833
516732034,C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,13165863,UltimateAutomizer,33900,default,552352,complete,16.749288815,7.6795809269,4.61807616E8,YES,68691
516732035,C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,13165863,irankfinder v1.3.2,29509,competition,360226,complete,5.386567846,5.47441411018,3.5872768E7,YES,619
516732036,C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,13165863,AProVE21,33789,c,551429,complete,19.495271449,13.1350078583,1.246191616E9,YES,1001527
516732037,C_Integer/Stroeder_15/LeikeHeizmann-TACAS2014-Ex7_true-termination.c,13165864,UltimateAutomizer,33900,default,552352,complete,15.71949486,7.06602811813,4.54422528E8,YES,67111
516732038,C_Integer/Stroeder_15/LeikeHeizmann-TACAS2014-Ex7_true-termination.c,13165864,irankfinder v1.3.2,29509,competition,360226,complete,2.858051876,2.91277718544,3.3058816E7,YES,456
516732039,C_Integer/Stroeder_15/LeikeHeizmann-TACAS2014-Ex7_true-termination.c,13165864,AProVE21,33789,c,551429,complete,17.733711117,5.47844195366,1.111437312E9,YES,285656
516732040,C_Integer/Stroeder_15/svcomp_b.04.c,13165865,UltimateAutomizer,33900,default,552352,complete,21.713561368,12.7774319649,4.67472384E8,YES,62642
516732041,C_Integer/Stroeder_15/svcomp_b.04.c,13165865,irankfinder v1.3.2,29509,competition,360226,complete,2.363137051,2.40868806839,3.3255424E7,YES,352
516732042,C_Integer/Stroeder_15/svcomp_b.04.c,13165865,AProVE21,33789,c,551429,complete,6.947858757,2.60593104362,5.27798272E8,YES,223597
516732043,C_Integer/Stroeder_15/svcomp_ex3a.c,13165866,UltimateAutomizer,33900,default,552352,complete,35.653534786,20.5782411098,1.996906496E9,MAYBE,412260
516732044,C_Integer/Stroeder_15/svcomp_ex3a.c,13165866,irankfinder v1.3.2,29509,competition,360226,complete,28.529307161,38.748953104,4.7079424E7,MAYBE,502
516732045,C_Integer/Stroeder_15/svcomp_ex3a.c,13165866,AProVE21,33789,c,551429,complete,14.083749807,4.5215139389,9.72181504E8,YES,470617
516732046,C_Integer/Stroeder_15/NonTerminationSimple3_false-termination.c,13165867,UltimateAutomizer,33900,default,552352,complete,13.76990824,6.07902383804,4.12065792E8,NO,42290
516732047,C_Integer/Stroeder_15/NonTerminationSimple3_false-termination.c,13165867,irankfinder v1.3.2,29509,competition,360226,complete,2.615207461,2.65178894997,3.3005568E7,NO,608
516732048,C_Integer/Stroeder_15/NonTerminationSimple3_false-termination.c,13165867,AProVE21,33789,c,551429,complete,17.082556318,9.64905810356,9.04871936E8,NO,199567
516732049,C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Fig1_true-termination.c,13165868,UltimateAutomizer,33900,default,552352,complete,16.554681084,7.78974413872,4.68779008E8,YES,71436
516732050,C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Fig1_true-termination.c,13165868,irankfinder v1.3.2,29509,competition,360226,complete,6.503310409,7.12451100349,4.7251456E7,YES,367
516732051,C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Fig1_true-termination.c,13165868,AProVE21,33789,c,551429,complete,16.631008141,5.18442392349,1.040850944E9,YES,400058
516732052,C_Integer/Stroeder_15/Ex02.c,13165869,UltimateAutomizer,33900,default,552352,complete,17.4311581,8.162774086,4.7183872E8,NO,100738
516732053,C_Integer/Stroeder_15/Ex02.c,13165869,irankfinder v1.3.2,29509,competition,360226,complete,3.838499547,3.88635587692,3.3124352E7,NO,746
516732054,C_Integer/Stroeder_15/Ex02.c,13165869,AProVE21,33789,c,551429,complete,8.341811798,5.36694097519,6.249472E8,NO,310635
516732055,C_Integer/Stroeder_15/TelAviv-Amir-Minimum_true-termination.c,13165870,UltimateAutomizer,33900,default,552352,complete,31.710049812,15.3776080608,1.142259712E9,YES,483308
516732056,C_Integer/Stroeder_15/TelAviv-Amir-Minimum_true-termination.c,13165870,irankfinder v1.3.2,29509,competition,360226,complete,33.707847552,34.2548530102,5.0765824E7,MAYBE,987
516732057,C_Integer/Stroeder_15/TelAviv-Amir-Minimum_true-termination.c,13165870,AProVE21,33789,c,551429,timeout (wallclock),1155.32421515,301.051765919,2.2310703104E10,MAYBE,231
516732058,C_Integer/Stroeder_15/Stockholm_true-termination.c,13165871,UltimateAutomizer,33900,default,552352,complete,19.450303191,9.99700593948,4.89652224E8,YES,75832
