pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time,output-size
487548195,TRS_Relative/INVY_15/#3.24_rand.xml,11775395,ttt2-1.20,29431,ttt2_cert,360056,complete,3.242289877,1.10675382614,4.4148736E8,YES,CERTIFIED,0.1,29500
487548196,TRS_Relative/INVY_15/#3.24_rand.xml,11775395,AProVE,29458,certified,360177,complete,5.453575898,2.1598880291,5.04295424E8,YES,CERTIFIED,0.0,13388
487548197,TRS_Relative/INVY_15/ex6.xml,11775396,ttt2-1.20,29431,ttt2_cert,360056,complete,0.359623721,0.347820997238,7.727104E7,NO,CERTIFIED,0.0,8618
487548198,TRS_Relative/INVY_15/ex6.xml,11775396,AProVE,29458,certified,360177,timeout (wallclock),1070.72702976,301.040576935,1.7430765568E10,MAYBE,-,-,-
487548199,TRS_Relative/INVY_15/#3.53_rand.xml,11775397,ttt2-1.20,29431,ttt2_cert,360056,complete,309.904331243,299.349740028,5.76212992E8,MAYBE,-,-,-
487548200,TRS_Relative/INVY_15/#3.53_rand.xml,11775397,AProVE,29458,certified,360177,complete,879.933133844,292.430107117,1.5711420416E10,MAYBE,-,-,-
487548201,TRS_Relative/INVY_15/#3.1_rand.xml,11775398,ttt2-1.20,29431,ttt2_cert,360056,complete,307.192450485,299.338886023,5.41216768E8,MAYBE,-,-,-
487548202,TRS_Relative/INVY_15/#3.1_rand.xml,11775398,AProVE,29458,certified,360177,timeout (wallclock),1168.90322101,301.007693052,1.7810087936E10,MAYBE,-,-,-
487548203,TRS_Relative/INVY_15/ex1.xml,11775399,ttt2-1.20,29431,ttt2_cert,360056,complete,0.379631915,0.322938919067,1.0409984E8,NO,CERTIFIED,0.0,8149
487548204,TRS_Relative/INVY_15/ex1.xml,11775399,AProVE,29458,certified,360177,complete,3.545224835,1.65547990799,2.75718144E8,NO,CERTIFIED,0.0,1571
487548205,TRS_Relative/INVY_15/#3.23_rand.xml,11775400,ttt2-1.20,29431,ttt2_cert,360056,complete,306.601100162,299.335258961,3.01232128E8,MAYBE,-,-,-
487548206,TRS_Relative/INVY_15/#3.23_rand.xml,11775400,AProVE,29458,certified,360177,complete,1064.9070319,292.929450989,1.56649472E10,MAYBE,-,-,-
487548207,TRS_Relative/INVY_15/#3.6a_rand.xml,11775401,ttt2-1.20,29431,ttt2_cert,360056,complete,307.503981154,299.320348978,5.27622144E8,MAYBE,-,-,-
