pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time,output-size
487574194,Derivational_Complexity_Full_Rewriting/Gebhardt_06/11.xml,11765300,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1032.36196214,296.276827812,1.703542784E9,MAYBE,-,-,-
487574195,Derivational_Complexity_Full_Rewriting/Gebhardt_06/16.xml,11765301,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1004.21204846,296.317503929,2.281099264E9,MAYBE,-,-,-
487574196,Derivational_Complexity_Full_Rewriting/Gebhardt_06/18.xml,11765302,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1016.43125865,296.206342936,1.491873792E9,MAYBE,-,-,-
487574197,Derivational_Complexity_Full_Rewriting/Gebhardt_06/09.xml,11765303,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1001.40533389,296.351438999,2.584047616E9,MAYBE,-,-,-
487574198,Derivational_Complexity_Full_Rewriting/Gebhardt_06/07.xml,11765304,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1032.36179558,296.524061918,3.709640704E9,MAYBE,-,-,-
487574199,Derivational_Complexity_Full_Rewriting/Gebhardt_06/19.xml,11765305,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1015.57754123,296.326913118,1.661702144E9,MAYBE,-,-,-
487574200,Derivational_Complexity_Full_Rewriting/Gebhardt_06/17.xml,11765306,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1016.52749736,296.333975077,1.950670848E9,MAYBE,-,-,-
487574201,Derivational_Complexity_Full_Rewriting/Gebhardt_06/10.xml,11765307,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1031.02071515,296.354406118,2.340442112E9,MAYBE,-,-,-
487574202,Derivational_Complexity_Full_Rewriting/Gebhardt_06/01.xml,11765308,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,982.829809115,296.247471094,2.064760832E9,MAYBE,-,-,-
487574203,Derivational_Complexity_Full_Rewriting/Gebhardt_06/06.xml,11765309,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1017.76939856,296.313245058,1.982386176E9,MAYBE,-,-,-
487574204,Derivational_Complexity_Full_Rewriting/Gebhardt_06/08.xml,11765310,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1054.54692063,296.280612946,2.37197312E9,MAYBE,-,-,-
487574205,Derivational_Complexity_Full_Rewriting/Gebhardt_06/05.xml,11765311,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1027.57504664,296.210238934,1.743204352E9,MAYBE,-,-,-
487574206,Derivational_Complexity_Full_Rewriting/Gebhardt_06/02.xml,11765312,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,947.224306817,296.331441879,2.585677824E9,MAYBE,-,-,-
487574207,Derivational_Complexity_Full_Rewriting/Gebhardt_06/13.xml,11765313,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1046.35001665,296.340077877,2.843799552E9,MAYBE,-,-,-
487574208,Derivational_Complexity_Full_Rewriting/Gebhardt_06/14.xml,11765314,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,263.455130045,73.2358169556,8.4594688E8,INVALID-CLAIM:tct-trs: Stack space overflow: current size 33624 bytes.,-,-,-
487574209,Derivational_Complexity_Full_Rewriting/Gebhardt_06/03.xml,11765315,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1021.6962263,296.248022079,2.13567488E9,MAYBE,-,-,-
487574210,Derivational_Complexity_Full_Rewriting/Gebhardt_06/04.xml,11765316,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,946.099355572,296.537783146,2.313957376E9,MAYBE,-,-,-
487574211,Derivational_Complexity_Full_Rewriting/Gebhardt_06/15.xml,11765317,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1045.26209757,296.235780954,1.75671296E9,MAYBE,-,-,-
487574212,Derivational_Complexity_Full_Rewriting/Gebhardt_06/12.xml,11765318,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1032.11856122,296.277675867,2.238046208E9,MAYBE,-,-,-
487574213,Derivational_Complexity_Full_Rewriting/Gebhardt_06/20.xml,11765319,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1025.28306152,296.283473015,1.839706112E9,MAYBE,-,-,-
487574214,Derivational_Complexity_Full_Rewriting/Secret_06_SRS/aprove08.xml,11765320,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,timeout (cpu),1203.25857025,301.008655071,3.35179776E8,MAYBE,-,-,-
487574215,Derivational_Complexity_Full_Rewriting/Secret_06_SRS/aprove01.xml,11765321,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,timeout (wallclock),1198.51514777,301.008244991,4.7034712064E10,MAYBE,-,-,-
487574216,Derivational_Complexity_Full_Rewriting/Secret_06_SRS/aprove06.xml,11765322,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,timeout (cpu),1203.07857856,301.007658958,4.97025024E8,MAYBE,-,-,-
487574217,Derivational_Complexity_Full_Rewriting/Secret_06_SRS/3.xml,11765323,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,603.286242477,296.270905018,1.79156992E9,MAYBE,-,-,-
487574218,Derivational_Complexity_Full_Rewriting/Secret_06_SRS/multum2.xml,11765324,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,878.310778481,296.130581141,3.89894144E8,MAYBE,-,-,-
