pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time
516341677,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/z086-variant.xml,13150407,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,296.306941196,82.9721050262,6.11569664E8,tct-trs: Stack space overflow: current size 33624 bytes.,-,-
516341678,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/uni-7.xml,13150408,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1145.97359685,296.496230125,2.286923776E9,MAYBE,-,-
516341679,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/sym-6.xml,13150409,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,484.629637652,296.30053401,1.026052096E9,MAYBE,-,-
516341680,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/sym-1.xml,13150410,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,469.78702104,296.386601925,2.408267776E9,MAYBE,-,-
516341681,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/jw4.xml,13150411,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,timeout (wallclock),1195.66023695,301.053943157,4.3311005696E10,--,-,-
516341682,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/jw3.xml,13150412,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1172.91953968,296.283186913,1.415532544E9,MAYBE,-,-
516341683,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/e.xml,13150413,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1183.94276897,296.262246847,7.36555008E8,MAYBE,-,-
516341684,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/jw5.xml,13150414,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,timeout (cpu),1201.53974644,301.045634031,2.2607065088E10,--,-,-
516341685,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/uni-1.xml,13150415,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,498.970965288,296.221311092,8.47888384E8,MAYBE,-,-
516341686,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/uni-6.xml,13150416,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1040.00210401,296.254441023,1.747365888E9,MAYBE,-,-
516341687,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/jw1.xml,13150417,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1156.40606588,296.245522976,1.211629568E9,MAYBE,-,-
516341688,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/uni-5.xml,13150418,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,468.414826203,296.201894045,2.9548544E8,MAYBE,-,-
516341689,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/sym-4.xml,13150419,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,462.566543415,296.21060586,7.70736128E8,MAYBE,-,-
516341690,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/uni-2.xml,13150420,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,821.394999262,296.651648045,4.03054592E9,MAYBE,-,-
516341691,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/pi.xml,13150421,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,48.026717718,12.2203509808,3.36048128E8,"WORST_CASE(?,O(n^4))",CERTIFIED,0.80
516341692,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/uni-3.xml,13150422,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,530.610345908,296.28806901,8.3208192E8,MAYBE,-,-
516341693,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/sym-2.xml,13150423,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,508.759378484,296.25920701,8.19707904E8,MAYBE,-,-
516341694,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/uni-4.xml,13150424,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,805.128455407,296.413742065,3.190112256E9,MAYBE,-,-
516341695,Derivational_Complexity_Full_Rewriting/Waldmann_06_SRS/sym-5.xml,13150425,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,961.249583577,296.324095011,2.164891648E9,MAYBE,-,-
516341696,Derivational_Complexity_Full_Rewriting/Endrullis_06/linear1.xml,13150400,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,771.355840158,296.236823082,1.669705728E9,MAYBE,-,-
516341697,Derivational_Complexity_Full_Rewriting/Endrullis_06/direct.xml,13150401,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,0.748025935,0.224594116211,7.4129408E7,"WORST_CASE(?,O(n^1))",CERTIFIED,0.48
516341698,Derivational_Complexity_Full_Rewriting/Endrullis_06/quadruple1.xml,13150402,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,0.249027894,0.0810720920563,3.6110336E7,"WORST_CASE(?,O(n^1))",CERTIFIED,0.09
516341699,Derivational_Complexity_Full_Rewriting/Endrullis_06/pair3rotate.xml,13150403,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,191.257643707,47.972561121,7.222272E8,tct-trs: Stack space overflow: current size 33624 bytes.,-,-
516341700,Derivational_Complexity_Full_Rewriting/Endrullis_06/quadruple2.xml,13150404,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,7.968079849,2.0214099884,1.36327168E8,"WORST_CASE(?,O(n^2))",CERTIFIED,0.04
516341701,Derivational_Complexity_Full_Rewriting/Endrullis_06/pair3swap.xml,13150405,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,87.072769567,25.0106039047,1.21120768E9,tct-trs: Stack space overflow: current size 33624 bytes.,-,-
516341702,Derivational_Complexity_Full_Rewriting/Endrullis_06/linear2.xml,13150406,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1116.64960523,296.22698307,1.036066816E9,MAYBE,-,-
516341703,Derivational_Complexity_Full_Rewriting/Mixed_SRS/s6.xml,13150374,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,178.160911065,45.1956839561,2.468462592E9,"WORST_CASE(?,O(n^2))",CERTIFIED,0.96
516341704,Derivational_Complexity_Full_Rewriting/Mixed_SRS/08-oppelt08.xml,13150375,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1165.13765693,297.287478924,5.200920576E9,MAYBE,-,-
516341705,Derivational_Complexity_Full_Rewriting/Mixed_SRS/07.xml,13150376,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,565.270074634,296.495149851,3.262144512E9,MAYBE,-,-
516341706,Derivational_Complexity_Full_Rewriting/Mixed_SRS/2.xml,13150377,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1072.12303525,296.446433067,2.07763456E9,MAYBE,-,-
516341707,Derivational_Complexity_Full_Rewriting/Mixed_SRS/09.xml,13150378,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,884.708113103,296.519859076,3.6210688E9,MAYBE,-,-
516341708,Derivational_Complexity_Full_Rewriting/Mixed_SRS/turing_mult.xml,13150379,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1184.01700507,296.267575026,1.396989952E9,MAYBE,-,-
516341709,Derivational_Complexity_Full_Rewriting/Mixed_SRS/01-oppelt08.xml,13150380,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1181.79174744,296.194890022,5.85465856E8,MAYBE,-,-
516341710,Derivational_Complexity_Full_Rewriting/Mixed_SRS/03-oppelt08.xml,13150381,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,908.384193916,296.211264133,5.64703232E8,MAYBE,-,-
516341711,Derivational_Complexity_Full_Rewriting/Mixed_SRS/02-oppelt08.xml,13150382,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1018.4663433,296.244321108,6.73816576E8,MAYBE,-,-
516341712,Derivational_Complexity_Full_Rewriting/Mixed_SRS/08.xml,13150383,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,709.695721282,296.388917923,2.435584E9,MAYBE,-,-
516341713,Derivational_Complexity_Full_Rewriting/Mixed_SRS/07-oppelt08.xml,13150384,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1182.85691952,296.203033924,2.29797888E8,MAYBE,-,-
516341714,Derivational_Complexity_Full_Rewriting/Mixed_SRS/turing_copy.xml,13150385,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,1184.30088112,296.319876909,1.445728256E9,MAYBE,-,-
516341715,Derivational_Complexity_Full_Rewriting/Mixed_SRS/01.xml,13150386,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,863.100754925,296.344192028,2.593222656E9,MAYBE,-,-
516341716,Derivational_Complexity_Full_Rewriting/Mixed_SRS/3.xml,13150387,tct-trs_v3.2.0_2020-06-28,29575,tct_dc_cert,360387,complete,140.32674747,40.9374411106,1.92933888E8,"WORST_CASE(?,O(n^2))",CERTIFIED,0.07
