pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time
516949026,SRS_Relative/ICFP_2010_relative/132738.xml,13155835,ttt2-1.20,33885,ttt2_cert,552235,complete,30.760853479,33.3079090118,2.175143936E9,MAYBE,-,-
516949027,SRS_Relative/ICFP_2010_relative/132738.xml,13155835,AProVE21,33789,certified,552179,complete,56.287930818,15.3063671589,3.687366656E9,YES,CERTIFIED,14.86
516949028,SRS_Relative/ICFP_2010_relative/137809.xml,13155836,ttt2-1.20,33885,ttt2_cert,552235,complete,30.891821733,33.4651830196,2.20094464E9,MAYBE,-,-
516949029,SRS_Relative/ICFP_2010_relative/137809.xml,13155836,AProVE21,33789,certified,552179,timeout (wallclock),1181.63788649,301.070140123,1.6852676608E10,--,-,-
516949030,SRS_Relative/ICFP_2010_relative/3467.xml,13155837,ttt2-1.20,33885,ttt2_cert,552235,complete,30.244691472,32.6545391083,1.8664448E9,MAYBE,-,-
516949031,SRS_Relative/ICFP_2010_relative/3467.xml,13155837,AProVE21,33789,certified,552179,timeout (wallclock),1182.86875991,301.060695171,1.5797927936E10,--,-,-
516949032,SRS_Relative/ICFP_2010_relative/3770.xml,13155838,ttt2-1.20,33885,ttt2_cert,552235,complete,30.192115065,32.896007061,1.963880448E9,MAYBE,-,-
516949033,SRS_Relative/ICFP_2010_relative/3770.xml,13155838,AProVE21,33789,certified,552179,complete,1161.12618412,295.956430912,1.5837749248E10,MAYBE,-,-
516949034,SRS_Relative/ICFP_2010_relative/4819.xml,13155839,ttt2-1.20,33885,ttt2_cert,552235,complete,30.061106316,32.6070828438,2.09537024E9,MAYBE,-,-
516949035,SRS_Relative/ICFP_2010_relative/4819.xml,13155839,AProVE21,33789,certified,552179,complete,78.835042141,20.7812230587,4.403830784E9,YES,CERTIFIED,18.51
516949036,SRS_Relative/ICFP_2010_relative/139025.xml,13155840,ttt2-1.20,33885,ttt2_cert,552235,complete,30.841161979,33.2827830315,2.156691456E9,MAYBE,-,-
516949037,SRS_Relative/ICFP_2010_relative/139025.xml,13155840,AProVE21,33789,certified,552179,complete,54.599581554,14.8434121609,3.158286336E9,YES,CERTIFIED,15.81
516949038,SRS_Relative/ICFP_2010_relative/3995.xml,13155841,ttt2-1.20,33885,ttt2_cert,552235,complete,30.178798382,32.6224329472,2.002526208E9,MAYBE,-,-
516949039,SRS_Relative/ICFP_2010_relative/3995.xml,13155841,AProVE21,33789,certified,552179,timeout (wallclock),1183.61156141,301.007720947,1.6118284288E10,--,-,-
516949040,SRS_Relative/ICFP_2010_relative/3705.xml,13155842,ttt2-1.20,33885,ttt2_cert,552235,complete,30.189957352,32.6798000336,2.044678144E9,MAYBE,-,-
516949041,SRS_Relative/ICFP_2010_relative/3705.xml,13155842,AProVE21,33789,certified,552179,timeout (wallclock),1183.33719537,301.036571026,1.5824572416E10,--,-,-
516949042,SRS_Relative/ICFP_2010_relative/5011.xml,13155843,ttt2-1.20,33885,ttt2_cert,552235,complete,22.602523427,7.52215003967,1.106272256E9,MAYBE,-,-
516949043,SRS_Relative/ICFP_2010_relative/5011.xml,13155843,AProVE21,33789,certified,552179,complete,1.295954649,0.660665988922,1.37170944E8,MAYBE,-,-
516949044,SRS_Relative/ICFP_2010_relative/4934.xml,13155844,ttt2-1.20,33885,ttt2_cert,552235,complete,30.149518163,32.6529150009,1.927098368E9,MAYBE,-,-
516949045,SRS_Relative/ICFP_2010_relative/4934.xml,13155844,AProVE21,33789,certified,552179,timeout (wallclock),1180.39719291,301.056676149,1.58186496E10,--,-,-
516949046,SRS_Relative/ICFP_2010_relative/139174.xml,13155845,ttt2-1.20,33885,ttt2_cert,552235,complete,30.879967133,33.4703431129,2.177380352E9,MAYBE,-,-
516949047,SRS_Relative/ICFP_2010_relative/139174.xml,13155845,AProVE21,33789,certified,552179,complete,54.651883765,14.8620200157,3.058704384E9,YES,CERTIFIED,17.45
516949048,SRS_Relative/ICFP_2010_relative/139190.xml,13155846,ttt2-1.20,33885,ttt2_cert,552235,complete,30.797968637,33.2923901081,2.166484992E9,MAYBE,-,-
516949049,SRS_Relative/ICFP_2010_relative/139190.xml,13155846,AProVE21,33789,certified,552179,complete,48.285855926,13.1132900715,2.683060224E9,YES,CERTIFIED,12.61
516949050,SRS_Relative/ICFP_2010_relative/139256.xml,13155847,ttt2-1.20,33885,ttt2_cert,552235,complete,30.837586913,33.3081319332,2.18478592E9,MAYBE,-,-
516949051,SRS_Relative/ICFP_2010_relative/139256.xml,13155847,AProVE21,33789,certified,552179,complete,83.488279137,26.5852808952,4.103643136E9,YES,CERTIFIED,26.26
516949052,SRS_Relative/ICFP_2010_relative/4036.xml,13155848,ttt2-1.20,33885,ttt2_cert,552235,complete,30.17959009,32.6310319901,2.069897216E9,MAYBE,-,-
516949053,SRS_Relative/ICFP_2010_relative/4036.xml,13155848,AProVE21,33789,certified,552179,complete,108.394908746,28.2695479393,1.445466112E10,YES,CERTIFIED,19.89
516949054,SRS_Relative/ICFP_2010_relative/128550.xml,13155849,ttt2-1.20,33885,ttt2_cert,552235,complete,30.881249747,33.3121218681,2.165235712E9,MAYBE,-,-
516949055,SRS_Relative/ICFP_2010_relative/128550.xml,13155849,AProVE21,33789,certified,552179,complete,79.320521834,21.1184220314,4.630802432E9,YES,CERTIFIED,19.77
516949056,SRS_Relative/ICFP_2010_relative/5109.xml,13155850,ttt2-1.20,33885,ttt2_cert,552235,complete,30.1799012,32.6603620052,2.060136448E9,MAYBE,-,-
516949057,SRS_Relative/ICFP_2010_relative/5109.xml,13155850,AProVE21,33789,certified,552179,complete,88.796942925,23.4222388268,5.419360256E9,YES,CERTIFIED,23.47
516949058,SRS_Relative/ICFP_2010_relative/128691.xml,13155851,ttt2-1.20,33885,ttt2_cert,552235,complete,30.829808953,33.3059108257,2.169667584E9,MAYBE,-,-
516949059,SRS_Relative/ICFP_2010_relative/128691.xml,13155851,AProVE21,33789,certified,552179,complete,55.42668554,15.5668749809,3.411689472E9,YES,CERTIFIED,17.31
516949060,SRS_Relative/ICFP_2010_relative/140659.xml,13155852,ttt2-1.20,33885,ttt2_cert,552235,complete,30.527148678,33.0065279007,2.110050304E9,MAYBE,-,-
516949061,SRS_Relative/ICFP_2010_relative/140659.xml,13155852,AProVE21,33789,certified,552179,timeout (wallclock),1163.9528057,301.0417521,1.8276274176E10,--,-,-
516949062,SRS_Relative/ICFP_2010_relative/3831.xml,13155853,ttt2-1.20,33885,ttt2_cert,552235,complete,30.152815844,32.6348888874,2.085093376E9,MAYBE,-,-
516949063,SRS_Relative/ICFP_2010_relative/3831.xml,13155853,AProVE21,33789,certified,552179,complete,81.365742762,21.4452638626,5.544521728E9,YES,CERTIFIED,15.44
516949064,SRS_Relative/ICFP_2010_relative/4029.xml,13155854,ttt2-1.20,33885,ttt2_cert,552235,complete,30.271861735,32.6967468262,1.943699456E9,MAYBE,-,-
516949065,SRS_Relative/ICFP_2010_relative/4029.xml,13155854,AProVE21,33789,certified,552179,timeout (wallclock),1182.06969136,301.043651819,1.5843422208E10,--,-,-
516949066,SRS_Relative/ICFP_2010_relative/138194.xml,13155855,ttt2-1.20,33885,ttt2_cert,552235,complete,30.941900485,33.1792638302,2.256867328E9,MAYBE,-,-
516949067,SRS_Relative/ICFP_2010_relative/138194.xml,13155855,AProVE21,33789,certified,552179,timeout (wallclock),1173.1090207,301.042315006,1.6820154368E10,--,-,-
516949068,SRS_Relative/ICFP_2010_relative/133881.xml,13155856,ttt2-1.20,33885,ttt2_cert,552235,complete,30.722794588,33.2028930187,2.244993024E9,MAYBE,-,-
516949069,SRS_Relative/ICFP_2010_relative/133881.xml,13155856,AProVE21,33789,certified,552179,timeout (wallclock),1180.80751948,301.01285696,1.6738004992E10,--,-,-
