pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
517010276,Java_Bytecode_Recursive/Julia_12_recursive/ex07_rec.jar,13165087,AProVE21,33789,standard,551423,complete,6.294171437,2.4207098484,5.18283264E8,NO,1611
517010277,Java_Bytecode_Recursive/Julia_12_recursive/ex03_rec.jar,13165088,AProVE21,33789,standard,551423,complete,6.494075496,2.57234191895,5.03967744E8,NO,2411
517010278,Java_Bytecode_Recursive/Julia_12_recursive/trueDiv_rec.jar,13165089,AProVE21,33789,standard,551423,complete,7.092610736,2.66006684303,6.28502528E8,NO,2598
517010279,Java_Bytecode_Recursive/Julia_12_recursive/narrowing_rec.jar,13165090,AProVE21,33789,standard,551423,complete,17.955079767,11.5596840382,1.176195072E9,NO,20939
517010280,Java_Bytecode_Recursive/Julia_12_recursive/mirrorInterv_rec.jar,13165091,AProVE21,33789,standard,551423,complete,8.519382374,2.9997010231,5.75492096E8,NO,6837
517010281,Java_Bytecode_Recursive/Julia_12_recursive/alternDiv_rec.jar,13165092,AProVE21,33789,standard,551423,complete,9.590181863,11.0296969414,1.137905664E9,NO,4528
517010282,Java_Bytecode_Recursive/Julia_12_recursive/even_rec.jar,13165093,AProVE21,33789,standard,551423,complete,6.927749868,2.54548192024,5.55872256E8,NO,2639
517010283,Java_Bytecode_Recursive/Julia_12_recursive/complInterv2_rec.jar,13165094,AProVE21,33789,standard,551423,complete,6.378361116,2.50163793564,5.03427072E8,NO,2667
517010284,Java_Bytecode_Recursive/Julia_12_recursive/Et4-rec.jar,13165095,AProVE21,33789,standard,551423,complete,21.12307941,6.78451895714,1.228890112E9,YES,33759
517010285,Java_Bytecode_Recursive/Julia_12_recursive/alternKonv_rec.jar,13165096,AProVE21,33789,standard,551423,complete,7.572834258,2.73688292503,5.64457472E8,NO,3163
517010286,Java_Bytecode_Recursive/Julia_12_recursive/EvenOdd.jar,13165097,AProVE21,33789,standard,551423,timeout (wallclock),307.190747226,301.086485863,9.774645248E9,MAYBE,240
517010287,Java_Bytecode_Recursive/Julia_12_recursive/complInterv3_rec.jar,13165098,AProVE21,33789,standard,551423,complete,6.749501369,2.57853293419,5.0036736E8,NO,2652
517010288,Java_Bytecode_Recursive/Julia_12_recursive/Et5-rec.jar,13165099,AProVE21,33789,standard,551423,complete,17.936954571,5.74173402786,1.074176E9,YES,63773
517010289,Java_Bytecode_Recursive/Julia_12_recursive/Et1-rec.jar,13165100,AProVE21,33789,standard,551423,complete,12.695463927,4.26274490356,9.1203584E8,YES,10966
517010290,Java_Bytecode_Recursive/Julia_12_recursive/ex06_rec.jar,13165101,AProVE21,33789,standard,551423,complete,6.377876457,2.5736348629,4.95796224E8,NO,1695
517010291,Java_Bytecode_Recursive/Julia_12_recursive/ex02_rec.jar,13165102,AProVE21,33789,standard,551423,complete,6.471985587,2.55631709099,5.05298944E8,NO,2221
517010292,Java_Bytecode_Recursive/Julia_12_recursive/alternDivWidening_rec.jar,13165103,AProVE21,33789,standard,551423,complete,15.711297704,5.76728487015,1.208045568E9,NO,5627
517010293,Java_Bytecode_Recursive/Julia_12_recursive/complxStruc_rec.jar,13165104,AProVE21,33789,standard,551423,complete,12.017549075,4.0038189888,6.98130432E8,NO,11030
517010294,Java_Bytecode_Recursive/Julia_12_recursive/upAndDown_rec.jar,13165105,AProVE21,33789,standard,551423,complete,11.405106235,3.8208770752,8.07346176E8,NO,5515
517010295,Java_Bytecode_Recursive/Julia_12_recursive/whileNested_rec.jar,13165106,AProVE21,33789,standard,551423,complete,7.019954499,2.61449790001,5.57268992E8,NO,2977
517010296,Java_Bytecode_Recursive/Julia_12_recursive/flip_rec.jar,13165107,AProVE21,33789,standard,551423,complete,6.782934505,2.53458619118,5.19942144E8,NO,4116
517010297,Java_Bytecode_Recursive/Julia_12_recursive/sum_rec.jar,13165108,AProVE21,33789,standard,551423,complete,7.066557839,2.66867208481,6.0981248E8,NO,2223
517010298,Java_Bytecode_Recursive/Julia_12_recursive/sunset_rec.jar,13165109,AProVE21,33789,standard,551423,complete,9.498965567,3.28547406197,6.532096E8,NO,3159
517010299,Java_Bytecode_Recursive/Julia_12_recursive/cousot_rec.jar,13165110,AProVE21,33789,standard,551423,complete,7.961835165,2.84566998482,7.36301056E8,NO,2763
517010300,Java_Bytecode_Recursive/Julia_12_recursive/flip2_rec.jar,13165111,AProVE21,33789,standard,551423,complete,8.347912486,2.9991080761,5.98183936E8,NO,7550
517010301,Java_Bytecode_Recursive/Julia_12_recursive/sumGeneric_rec.jar,13165112,AProVE21,33789,standard,551423,complete,6.049427939,2.37841510773,4.97934336E8,NO,2790
517010302,Java_Bytecode_Recursive/Julia_12_recursive/convLower_rec.jar,13165113,AProVE21,33789,standard,551423,complete,7.24872357,7.78654885292,4.97516544E8,NO,2370
